05.09.2016,SPIEGEL ONLINE,Wie Kollege Computer Ihren Job überflüssig macht,http://www.spiegel-online.de/wirtschaft/kuenstliche-intelligenz-wie-kollege-computer-ihren-job-ueberfluessig-macht-a-1110661.html
27.08.2016,DER SPIEGEL,Lehrmeister der Maschinen,http://www.spiegel-online.de/spiegel/print/d-146501135.html
23.08.2016,SPIEGEL WISSEN,Menschlicher Computer,http://www.spiegel-online.de/spiegel/spiegelwissen/d-146252571.html
13.08.2016,DER SPIEGEL,Mehr Roboter als Menschen?,http://www.spiegel-online.de/spiegel/print/d-146269181.html
04.08.2016,SPIEGEL ONLINE,Wie digitale Klone uns unsterblich machen sollen,http://www.spiegel-online.de/netzwelt/web/virtuelle-unsterblichkeit-hossein-rahnama-arbeitet-an-digitalen-klonen-a-1103539.html
16.07.2016,DER SPIEGEL,Lieber Killerkaninchen,http://www.spiegel-online.de/spiegel/print/d-145848274.html
13.06.2016,SPIEGEL ONLINE,Die Drehbuchmaschine,http://www.spiegel-online.de/netzwelt/web/kuenstliche-intelligenz-wie-computer-drehbuecher-schreiben-a-1097027.html
21.05.2016,DER SPIEGEL,Computer träumen nicht,http://www.spiegel-online.de/spiegel/print/d-144886663.html
26.04.2016,SPIEGEL WISSEN,Bouillabäh,http://www.spiegel-online.de/spiegel/spiegelwissen/d-144431498.html
02.04.2016,DER SPIEGEL,767 Millionen,http://www.spiegel-online.de/spiegel/print/d-143908147.html
31.03.2016,SPIEGEL ONLINE,"Cortana, wir müssen reden...",http://www.spiegel-online.de/netzwelt/apps/microsoft-konferenz-build-die-ki-plaene-des-konzerns-a-1084761.html
24.03.2016,SPIEGEL ONLINE,Vom Hipster-Mädchen zum Hitler-Bot,http://www.spiegel-online.de/netzwelt/web/microsoft-twitter-bot-tay-vom-hipstermaedchen-zum-hitlerbot-a-1084038.html
15.03.2016,SPIEGEL ONLINE,Software schlägt Go-Genie mit 4 zu 1,http://www.spiegel-online.de/netzwelt/gadgets/alphago-besiegt-lee-sedol-mit-4-zu-1-a-1082388.html
13.03.2016,SPIEGEL ONLINE,Spiel vier geht an den Go-Profi,http://www.spiegel-online.de/netzwelt/gadgets/alphago-gegen-lee-sedol-partie-vier-geht-an-den-go-profi-a-1082068.html
12.03.2016,SPIEGEL ONLINE,Es geht um weit mehr als Go,http://www.spiegel-online.de/netzwelt/gadgets/alphago-sieg-wendepunkt-der-menschheitsgeschichte-a-1082001.html
12.03.2016,SPIEGEL ONLINE,Technisches K.o.,http://www.spiegel-online.de/netzwelt/gadgets/go-duell-software-alphago-siegt-gegen-lee-sedol-a-1081975.html
10.03.2016,SPIEGEL ONLINE,"„Spielzüge, die ein Mensch nie machen würde“",http://www.spiegel-online.de/netzwelt/gadgets/google-software-alphago-spielzuege-die-ein-mensch-nie-machen-wuerde-a-1081652.html
10.03.2016,SPIEGEL ONLINE,Computer siegt erneut gegen Go-Genie,http://www.spiegel-online.de/netzwelt/gadgets/google-computer-gewinnt-auch-zweite-partie-gegen-lee-sodol-a-1081564.html
09.03.2016,SPIEGEL ONLINE,Computer gewinnt erstes Go-Duell,http://www.spiegel-online.de/netzwelt/gadgets/go-brettspielduell-alphago-von-google-deepmind-gewinnt-gegen-lee-sedol-a-1081365.html
08.03.2016,SPIEGEL ONLINE,Darum wird die Maschine siegen,http://www.spiegel-online.de/netzwelt/gadgets/alpha-go-interview-mit-geoff-hinton-zu-kuenstlichen-neuronalen-netzen-a-1081035.html
07.03.2016,SPIEGEL ONLINE,Go-Genie gegen geniale Software,http://www.spiegel-online.de/netzwelt/gadgets/go-turnier-googles-alphago-gegen-lee-sedol-wer-gewinnt-a-1080486.html
05.03.2016,DER SPIEGEL,Träumende Rechner,http://www.spiegel-online.de/spiegel/print/d-143471129.html
28.02.2016,SPIEGEL ONLINE,Der digitale Globetrotter mit dem menschlichen Blick,http://www.spiegel-online.de/netzwelt/web/planet-computerprogramm-erkennt-aufnahmeort-von-fotos-a-1079427.html
25.02.2016,SPIEGEL ONLINE,Facebook stiftet Großrechner für KI-Forschung,http://www.spiegel-online.de/netzwelt/web/facebook-zuckerberg-stiftet-grossrechner-fuer-deutsche-institute-a-1079296.html
06.02.2016,SPIEGEL ONLINE,Künstliche Intelligenz wird das All erobern,http://www.spiegel-online.de/netzwelt/gadgets/juergen-schmidhuber-der-weltraum-ist-fuer-roboter-gemacht-a-1074759.html
27.01.2016,SPIEGEL ONLINE,Google schlägt Facebook,http://www.spiegel-online.de/netzwelt/web/google-schlaegt-facebook-in-go-spiel-software-a-1074259.html
19.01.2016,SPIEGEL ONLINE,Furchtbar schlau - oder furchtbar niedlich,http://www.spiegel-online.de/netzwelt/gadgets/kuenstliche-intelligenz-werden-maschinen-schlauer-als-menschen-sein-a-1072650.html
22.12.2015,SPIEGEL ONLINE,Dieser Herr macht bald Ihren Job,http://www.spiegel-online.de/netzwelt/web/google-will-maschinen-denken-beibringen-a-1069072.html
09.12.2015,SPIEGEL ONLINE,Google und Nasa präsentieren Quantencomputer,http://www.spiegel-online.de/netzwelt/web/google-und-nasa-praesentieren-ihren-quantencomputer-a-1066838.html
17.09.2015,SPIEGEL ONLINE,In drei Tagen zum Internationalen Schachmeister,http://www.spiegel-online.de/netzwelt/web/kuenstliche-intelligenz-computer-lernt-in-72-stunden-schach-a-1053338.html
03.09.2015,SPIEGEL ONLINE,Computer malen wie van Gogh,http://www.spiegel-online.de/netzwelt/gadgets/algorithmus-forscher-lassen-fotos-wie-gemaelde-aussehen-a-1051084.html
28.07.2015,SPIEGEL ONLINE,Künstliche-Intelligenz-Forscher warnen vor künstlicher Intelligenz,http://www.spiegel-online.de/netzwelt/netzpolitik/elon-musk-und-stephen-hawking-warnen-vor-autonomen-waffen-a-1045615.html
30.06.2015,SPIEGEL WISSEN,Miss Cortanas vergoldete Phrasen,http://www.spiegel-online.de/spiegel/spiegelwissen/d-135652882.html
26.06.2015,SPIEGEL ONLINE,Software erkennt Lügen,http://www.spiegel-online.de/wissenschaft/technik/faktencheck-forscher-entwickeln-software-dieluegenluegen-erkennt-a-1040681.html
25.06.2015,SPIEGEL ONLINE,Nutzer zwingen Rechner zur Live-Halluzination,http://www.spiegel-online.de/netzwelt/games/twitch-projekt-nutzer-fuettern-lsd-rechner-mit-begriffen-a-1040647.html
25.06.2015,SPIEGEL ONLINE,Künstliche Intelligenz lernt per YouTube Levelbau,http://www.spiegel-online.de/netzwelt/web/super-mario-bros-ki-lernt-durch-youtube-levelaufbau-a-1040610.html
23.06.2015,SPIEGEL ONLINE,Droht uns die Herrschaft der Roboter?,http://www.spiegel-online.de/netzwelt/gadgets/robokratie-rezension-des-buches-von-thomas-wagner-a-1040055.html
26.02.2015,SPIEGEL ONLINE,Künstliche Intelligenz bewältigt 49 Atari-Spiele,http://www.spiegel-online.de/kultur/gesellschaft/google-ki-computer-lernt-atari-spiele-wie-space-invaders-a-1020599.html
26.02.2015,SPIEGEL ONLINE,Künstliche Intelligenz bewältigt 49 Atari-Spiele,http://www.spiegel-online.de/netzwelt/games/google-ki-computer-lernt-atari-spiele-wie-space-invaders-a-1020669.html
14.02.2015,SPIEGEL ONLINE,"Fünf Technologien, die unseren Alltag verändern werden",http://www.spiegel-online.de/netzwelt/gadgets/roboter-kuenstliche-intelligenz-uebersetzer-technik-der-zukunft-a-1017501.html
19.01.2015,SPIEGEL ONLINE,Forscher machen Super Mario zum Selbstgänger,http://www.spiegel-online.de/netzwelt/games/marioai-forschungsprojekt-der-uni-tuebingen-macht-super-mario-schlauer-a-1013676.html
15.01.2015,SPIEGEL ONLINE,"Sie kommen, um zu herrschen",http://www.spiegel-online.de/kultur/literatur/nick-bostroms-superintelligenz-bei-suhrkamp-a-1011341.html
12.01.2015,SPIEGEL ONLINE,Wissenschaftler fordern Leitlinien für Künstliche Intelligenz,http://www.spiegel-online.de/netzwelt/web/offener-brief-was-kuenstliche-intelligenz-koennen-und-duerfen-soll-a-1012520.html
09.01.2015,SPIEGEL ONLINE,Computer schlägt erstmals Menschen beim Poker,http://www.spiegel-online.de/wissenschaft/mensch/texas-hold-em-computer-schlaegt-erstmals-menschen-beim-poker-a-1011800.html
05.01.2015,SPIEGEL ONLINE,Roboter lernt Kochen mit YouTube-Videos,http://www.spiegel-online.de/netzwelt/gadgets/roboter-lernt-kochen-mit-youtube-videos-a-1011284.html
08.12.2014,DER SPIEGEL,Menschenwürmer,http://www.spiegel-online.de/spiegel/print/d-130754247.html
19.11.2014,SPIEGEL ONLINE,Der Mensch ist sein eigener Terminator,http://www.spiegel-online.de/netzwelt/web/sascha-lobo-ueber-elon-musk-technik-und-kuenstliche-intelligenz-a-1003785.html
01.11.2014,SPIEGEL ONLINE,Roboter würde Uni-Aufnahmeprüfung schaffen,http://www.spiegel-online.de/unispiegel/wunderbar/roboter-wuerde-fuer-uni-aufnahmepruefung-schaffen-a-1000332.html
15.08.2014,SPIEGEL ONLINE,Tanzende Schwarmintelligenz,http://www.spiegel-online.de/wissenschaft/technik/schwarmintelligenz-von-robotern-kilobot-formt-buchstaben-a-986187.html
09.06.2014,SPIEGEL ONLINE,Der unheimlich menschliche Eugene Goostmann,http://www.spiegel-online.de/netzwelt/gadgets/eugene-goostman-computer-besteht-erstmals-turing-test-a-974131.html
28.04.2014,DER SPIEGEL,„Sprache ist alles“,http://www.spiegel-online.de/spiegel/print/d-126717981.html
26.04.2014,SPIEGEL ONLINE,„Der Mensch hat nie mehr eine Chance“,http://www.spiegel-online.de/netzwelt/gadgets/kuenstliche-intelligenz-google-und-apple-machen-fortschritte-a-966042.html
30.10.2013,SPIEGEL ONLINE,Buchstabensystem offenbar nicht mehr sicher,http://www.spiegel-online.de/netzwelt/web/captchas-buchstaben-sicherheitssystem-angeblich-geknackt-a-930759.html
25.03.2013,DER SPIEGEL,"Was war da los, Herr Duncan?",http://www.spiegel-online.de/spiegel/print/d-91675478.html
19.12.2012,SPIEGEL ONLINE,„Ein simuliertes Gehirn kann lernen wie ein Kind“,http://www.spiegel-online.de/wissenschaft/medizin/ray-kurzweil-ueber-den-fortschritt-und-die-hoffnung-auf-ewiges-leben-a-872537.html
29.11.2012,SPIEGEL ONLINE,Bereit für den Intelligenztest,http://www.spiegel-online.de/wissenschaft/medizin/gehirn-computermodell-mit-2-5-millionen-neuronen-rechnet-und-zaehlt-a-870061.html
02.04.2012,SPIEGEL ONLINE,Angst vor der allmächtigen Gehirn-Kopie,http://www.spiegel-online.de/wissenschaft/medizin/die-gefahren-einer-gehirnsimulation-fuer-die-menschheit-a-823928.html
24.02.2012,SPIEGEL ONLINE,Roboter machen Ihre Tweets zu Geld,http://www.spiegel-online.de/netzwelt/web/kuenstliche-intelligenz-roboter-machen-ihre-tweets-zu-geld-a-817082.html
16.02.2012,SPIEGEL ONLINE,Der Ameisenkönig,http://www.spiegel-online.de/unispiegel/wunderbar/student-gewinnt-programmier-contest-der-ameisenkoenig-a-815417.html
18.08.2011,SPIEGEL ONLINE,Computerchip soll das Gehirn nachahmen,http://www.spiegel-online.de/netzwelt/gadgets/projekt-synapse-computerchip-soll-das-gehirn-nachahmen-a-781015.html
31.07.2011,SPIEGEL ONLINE,Bruder Android,http://www.spiegel-online.de/wissenschaft/technik/fuehlende-maschinen-bruder-android-a-772236.html
11.07.2011,DER SPIEGEL,Die Kunst des Zuhörens,http://www.spiegel-online.de/spiegel/print/d-79408646.html
21.02.2011,DER SPIEGEL,„Da ist niemand zu Hause“,http://www.spiegel-online.de/spiegel/print/d-77108594.html
17.02.2011,SPIEGEL ONLINE,Denkkraft ohne Selbstbewusstsein,http://www.spiegel-online.de/netzwelt/web/kuenstliche-intelligenz-denkkraft-ohne-selbstbewusstsein-a-745933.html
16.02.2011,SPIEGEL ONLINE,Watson lässt Quizkönige alt aussehen,http://www.spiegel-online.de/netzwelt/gadgets/jeopardy-duell-watson-laesst-quizkoenige-alt-aussehen-a-745831.html
15.02.2011,SPIEGEL ONLINE,Mensch und Maschine im Kopf-an-Kopf-Rennen,http://www.spiegel-online.de/netzwelt/gadgets/supercomputer-watson-mensch-und-maschine-im-kopf-an-kopf-rennen-a-745579.html
14.02.2011,DER SPIEGEL,Watson gegen die Menschheit,http://www.spiegel-online.de/spiegel/print/d-76862476.html
12.07.2010,SPIEGEL ONLINE,„Roboter werden Fehlentscheidungen treffen“,http://www.spiegel-online.de/wissenschaft/technik/schuldfaehigkeit-von-maschinen-roboter-werden-fehlentscheidungen-treffen-a-705961.html
12.07.2010,DER SPIEGEL,Watson und die Pet Shop Boys,http://www.spiegel-online.de/spiegel/print/d-71558816.html
12.07.2010,DER SPIEGEL,Wer und Wen,http://www.spiegel-online.de/spiegel/print/d-71558817.html
22.11.2009,SPIEGEL ONLINE,"Hallo, ist da wer?",http://www.spiegel-online.de/wissenschaft/mensch/a-661542.html
29.10.2009,SPIEGEL ONLINE,Chauvi gegen Chip,http://www.spiegel-online.de/wissenschaft/mensch/kuenstliche-intelligenz-chauvi-gegen-chip-a-656752.html
